,state,customer_lifetime_value,response,coverage,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size
3172,Arizona,4458.0,Yes,Basic,2011-01-02,Retired,M,17622,Suburban,Divorced,65,1.0,36,1.0,3,Personal Auto,Personal,Offer1,Agent,312.0,Four-Door Car,Medsize
3175,Arizona,8966.0,No,Extended,2011-01-30,Employed,M,41829,Suburban,Married,76,11.0,41,0.0,2,Personal Auto,Personal,Offer2,Call Center,416.0,Two-Door Car,Medsize
3176,California,5394.0,No,Basic,2011-02-03,Employed,F,27568,Urban,Married,68,0.0,62,0.0,3,Personal Auto,Personal,Offer3,Call Center,279.0,Two-Door Car,Medsize
3181,Oregon,2640.0,No,Basic,2011-01-31,Employed,M,88731,Rural,Married,66,10.0,72,0.0,1,Personal Auto,Personal,Offer4,Agent,149.0,Four-Door Car,Medsize
3182,Washington,4869.0,No,Basic,2011-01-29,Employed,F,55593,Rural,Married,61,13.0,52,0.0,3,Personal Auto,Personal,Offer2,Call Center,9.0,Four-Door Car,Medsize
3183,Oregon,25640.0,No,Premium,2011-01-11,Disabled,F,24695,Suburban,Married,168,5.0,83,0.0,2,Corporate Auto,Corporate,Offer1,Agent,806.0,Four-Door Car,Medsize
3184,California,2859.0,No,Basic,2011-01-14,Employed,F,51790,Suburban,Married,71,12.0,43,0.0,1,Personal Auto,Personal,Offer2,Agent,341.0,Four-Door Car,Large
3185,California,4879.0,No,Basic,2011-02-28,Disabled,F,29950,Suburban,Married,61,0.0,76,0.0,3,Personal Auto,Personal,Offer1,Call Center,293.0,Two-Door Car,Medsize
3186,California,2617.0,No,Basic,2011-02-14,Employed,F,98338,Rural,Single,65,13.0,33,0.0,1,Personal Auto,Personal,Offer3,Web,36.0,Four-Door Car,Medsize
3187,Oregon,20946.0,No,Basic,2011-02-24,Employed,F,69738,Suburban,Married,74,2.0,26,1.0,2,Personal Auto,Personal,Offer1,Branch,492.0,Four-Door Car,Large
3189,Oregon,3964.0,No,Basic,2011-02-14,Disabled,F,23474,Suburban,Divorced,102,5.0,21,0.0,1,Corporate Auto,Corporate,Offer1,Branch,490.0,Four-Door Car,Medsize
3192,California,28800.0,No,Extended,2011-02-11,Employed,M,33635,Suburban,Married,240,1.0,23,0.0,2,Personal Auto,Personal,Offer1,Web,1152.0,Luxury Car,Medsize
3193,Washington,11365.0,No,Extended,2011-01-22,Employed,M,84910,Urban,Married,95,4.0,69,0.0,2,Corporate Auto,Corporate,Offer2,Web,383.0,Two-Door Car,Small
3196,Washington,5627.0,No,Basic,2011-01-05,Employed,F,59782,Suburban,Married,70,29.0,51,0.0,3,Personal Auto,Personal,Offer3,Branch,336.0,Four-Door Car,Small
3198,Arizona,2540.0,No,Basic,2011-01-16,Employed,M,70125,Rural,Single,64,21.0,77,0.0,1,Special Auto,Special,Offer2,Branch,93.0,Four-Door Car,Medsize
3199,Arizona,8595.0,No,Basic,2011-02-21,Employed,M,28441,Suburban,Married,73,10.0,98,0.0,2,Special Auto,Special,Offer2,Call Center,686.0,Two-Door Car,Small
3202,Washington,8558.0,No,Basic,2011-02-13,Medical Leave,M,13908,Suburban,Married,116,12.0,74,2.0,3,Corporate Auto,Corporate,Offer1,Web,804.0,Four-Door Car,Medsize
3204,California,8248.0,No,Premium,2011-01-30,Employed,M,49009,Suburban,Married,105,17.0,28,0.0,3,Personal Auto,Personal,Offer2,Branch,504.0,Four-Door Car,Medsize
3205,Arizona,4444.0,No,Premium,2011-01-01,Employed,M,46384,Rural,Married,113,33.0,93,0.0,1,Corporate Auto,Corporate,Offer2,Web,252.0,Four-Door Car,Medsize
3207,Arizona,2516.0,No,Basic,2011-02-11,Employed,F,88435,Rural,Married,62,16.0,61,0.0,1,Personal Auto,Personal,Offer3,Branch,136.0,Four-Door Car,Small
3208,Washington,3087.0,No,Extended,2011-02-10,Medical Leave,F,19464,Suburban,Single,84,10.0,94,1.0,1,Personal Auto,Personal,Offer3,Agent,872.0,Four-Door Car,Small
3209,California,5927.0,No,Premium,2011-01-07,Employed,M,33561,Rural,Divorced,152,6.0,30,0.0,1,Corporate Auto,Corporate,Offer3,Branch,235.0,Sports Car,Medsize
3211,Oregon,4529.0,No,Basic,2011-01-11,Employed,F,90034,Suburban,Married,112,5.0,86,0.0,1,Corporate Auto,Corporate,Offer1,Call Center,538.0,Four-Door Car,Medsize
3213,Arizona,7227.0,No,Basic,2011-01-01,Employed,F,40153,Suburban,Single,61,1.0,99,0.0,2,Personal Auto,Personal,Offer1,Agent,340.0,Four-Door Car,Medsize
3217,California,5406.0,No,Basic,2011-02-24,Employed,F,67241,Rural,Married,68,22.0,6,1.0,3,Personal Auto,Personal,Offer2,Call Center,6.0,Two-Door Car,Medsize
3219,Arizona,4542.0,No,Basic,2011-01-06,Employed,M,29875,Suburban,Single,119,9.0,36,1.0,1,Corporate Auto,Corporate,Offer1,Web,571.0,Sports Car,Medsize
3220,Washington,5047.0,No,Basic,2011-01-14,Employed,M,81741,Urban,Single,64,10.0,94,0.0,3,Corporate Auto,Corporate,Offer1,Agent,186.0,Four-Door Car,Medsize
3221,California,6575.0,No,Extended,2011-02-02,Employed,M,84146,Suburban,Married,82,0.0,79,0.0,3,Personal Auto,Personal,Offer4,Agent,465.0,Four-Door Car,Medsize
3225,Arizona,5047.0,No,Basic,2011-01-17,Medical Leave,F,29957,Suburban,Married,65,19.0,72,0.0,3,Corporate Auto,Corporate,Offer1,Agent,312.0,Four-Door Car,Small
3226,Arizona,2944.0,No,Basic,2011-01-05,Employed,F,73601,Urban,Married,73,10.0,42,0.0,1,Personal Auto,Personal,Offer2,Agent,340.0,Four-Door Car,Medsize
3227,Nevada,2227.0,Yes,Basic,2011-01-05,Retired,M,27972,Suburban,Married,61,7.0,38,0.0,1,Special Auto,Special,Offer3,Web,293.0,Four-Door Car,Medsize
3228,California,9076.0,Yes,Basic,2011-01-26,Employed,M,37722,Rural,Single,116,8.0,23,0.0,3,Personal Auto,Personal,Offer1,Agent,158.0,Sports Car,Medsize
3230,Washington,9028.0,No,Basic,2011-01-18,Employed,M,76514,Suburban,Married,112,19.0,0,0.0,3,Personal Auto,Personal,Offer4,Agent,574.0,Four-Door Car,Medsize
3231,California,8045.0,Yes,Basic,2011-02-19,Employed,M,71391,Urban,Married,67,29.0,39,0.0,2,Personal Auto,Personal,Offer2,Agent,284.0,Four-Door Car,Medsize
3232,Oregon,4269.0,No,Basic,2011-02-25,Employed,M,43209,Suburban,Single,110,12.0,16,0.0,1,Personal Auto,Personal,Offer1,Web,528.0,Sports Car,Medsize
3234,California,7582.0,Yes,Basic,2011-02-03,Employed,M,64801,Urban,Married,64,23.0,19,0.0,2,Corporate Auto,Corporate,Offer2,Web,268.0,Four-Door Car,Medsize
3236,California,8442.0,No,Basic,2011-02-13,Employed,F,50801,Rural,Married,72,25.0,21,3.0,2,Personal Auto,Personal,Offer2,Agent,43.0,Four-Door Car,Medsize
3237,Arizona,5744.0,No,Basic,2011-01-15,Employed,F,68987,Urban,Married,71,11.0,40,0.0,3,Personal Auto,Personal,Offer1,Branch,204.0,Four-Door Car,Medsize
3240,Oregon,3126.0,No,Extended,2011-02-18,Employed,M,34510,Suburban,Divorced,81,0.0,54,0.0,1,Personal Auto,Personal,Offer2,Agent,389.0,Four-Door Car,Small
3241,California,6366.0,Yes,Extended,2011-01-07,Employed,M,44368,Suburban,Married,80,5.0,72,0.0,3,Personal Auto,Personal,Offer2,Call Center,384.0,Two-Door Car,Large
3242,Oregon,10233.0,No,Extended,2011-02-17,Medical Leave,F,22821,Suburban,Married,131,26.0,99,0.0,3,Personal Auto,Personal,Offer4,Call Center,740.0,Four-Door Car,Medsize
3244,Nevada,7492.0,No,Basic,2011-01-09,Employed,F,31723,Urban,Married,62,23.0,53,0.0,2,Personal Auto,Personal,Offer2,Branch,243.0,Two-Door Car,Medsize
3245,Washington,9207.0,No,Extended,2011-01-10,Retired,F,24589,Suburban,Married,82,33.0,39,0.0,2,Personal Auto,Personal,Offer1,Branch,511.0,Two-Door Car,Medsize
3246,Oregon,4429.0,No,Basic,2011-02-19,Employed,F,20868,Suburban,Married,112,14.0,11,0.0,1,Personal Auto,Personal,Offer2,Branch,538.0,Four-Door Car,Large
3247,California,5611.0,No,Basic,2011-02-24,Employed,F,77493,Urban,Single,70,2.0,35,0.0,3,Special Auto,Special,Offer1,Agent,308.0,Four-Door Car,Medsize
3248,Nevada,12128.0,No,Basic,2011-01-16,Employed,M,29431,Rural,Married,103,29.0,35,0.0,2,Personal Auto,Personal,Offer4,Call Center,238.0,Four-Door Car,Medsize
3249,California,2362.0,No,Basic,2011-02-24,Medical Leave,F,18064,Urban,Married,63,10.0,45,2.0,1,Personal Auto,Personal,Offer3,Call Center,183.0,Four-Door Car,Medsize
3251,Oregon,24128.0,Yes,Basic,2011-01-26,Medical Leave,M,14072,Suburban,Divorced,71,13.0,3,0.0,2,Personal Auto,Personal,Offer1,Agent,511.0,Four-Door Car,Medsize
3255,Nevada,12299.0,Yes,Basic,2011-02-20,Medical Leave,M,17101,Suburban,Single,113,1.0,88,0.0,2,Corporate Auto,Corporate,Offer1,Call Center,542.0,Four-Door Car,Medsize
3256,California,5747.0,No,Basic,2011-01-20,Employed,M,23504,Suburban,Married,73,2.0,66,0.0,3,Personal Auto,Personal,Offer4,Call Center,350.0,Four-Door Car,Small
3257,California,8887.0,No,Premium,2011-01-06,Employed,M,87094,Rural,Single,113,20.0,17,1.0,3,Personal Auto,Personal,Offer3,Agent,65.0,Four-Door Car,Medsize
3258,Washington,7753.0,No,Extended,2011-02-11,Employed,F,41275,Rural,Married,96,29.0,16,0.0,3,Personal Auto,Personal,Offer3,Branch,41.0,Four-Door Car,Large
3259,California,4740.0,No,Basic,2011-01-01,Employed,M,35039,Urban,Single,61,7.0,87,0.0,3,Personal Auto,Personal,Offer1,Call Center,254.0,Four-Door Car,Medsize
3260,California,4771.0,Yes,Basic,2011-02-01,Medical Leave,F,12964,Suburban,Single,65,2.0,37,0.0,3,Personal Auto,Personal,Offer1,Web,363.0,Two-Door Car,Medsize
3263,California,10972.0,Yes,Extended,2011-01-18,Employed,M,24164,Suburban,Divorced,137,2.0,40,0.0,3,Personal Auto,Personal,Offer2,Agent,658.0,Sports Car,Medsize
3265,California,2751.0,No,Basic,2011-01-20,Employed,M,93102,Suburban,Married,68,24.0,2,0.0,1,Personal Auto,Personal,Offer4,Branch,579.0,Two-Door Car,Small
3266,Washington,3097.0,Yes,Extended,2011-02-12,Employed,F,21604,Suburban,Divorced,79,14.0,28,0.0,1,Personal Auto,Personal,Offer1,Branch,379.0,Four-Door Car,Medsize
3267,Oregon,5050.0,No,Basic,2011-01-01,Employed,F,61080,Urban,Single,66,7.0,41,2.0,3,Personal Auto,Personal,Offer1,Call Center,294.0,Four-Door Car,Medsize
3268,Oregon,2648.0,Yes,Basic,2011-02-20,Employed,M,37876,Urban,Single,69,13.0,15,0.0,1,Personal Auto,Personal,Offer2,Agent,300.0,Four-Door Car,Medsize
3269,Arizona,2515.0,Yes,Basic,2011-02-14,Employed,F,43860,Rural,Single,65,15.0,58,0.0,1,Corporate Auto,Corporate,Offer2,Agent,156.0,Four-Door Car,Medsize
3270,Nevada,11607.0,No,Extended,2011-02-11,Employed,F,45893,Suburban,Married,97,3.0,75,0.0,2,Personal Auto,Personal,Offer2,Call Center,466.0,Two-Door Car,Medsize
3271,Washington,4769.0,No,Basic,2011-01-10,Employed,M,51144,Urban,Married,61,28.0,32,1.0,3,Personal Auto,Personal,Offer1,Agent,223.0,Two-Door Car,Medsize
3273,California,9463.0,No,Basic,2011-02-21,Employed,F,69654,Suburban,Married,118,10.0,50,0.0,3,Corporate Auto,Corporate,Offer1,Branch,630.0,Four-Door Car,Small
3274,Oregon,15252.0,No,Extended,2011-01-15,Employed,F,63287,Suburban,Married,127,5.0,84,0.0,2,Personal Auto,Personal,Offer1,Agent,617.0,Four-Door Car,Small
3275,California,7780.0,No,Extended,2011-01-22,Employed,M,87128,Suburban,Single,97,26.0,45,0.0,3,Personal Auto,Personal,Offer2,Web,496.0,Two-Door Car,Medsize
3276,California,10194.0,No,Extended,2011-01-15,Employed,F,21119,Suburban,Married,128,1.0,79,0.0,3,Personal Auto,Personal,Offer1,Branch,614.0,Four-Door Car,Medsize
3277,Oregon,11639.0,Yes,Basic,2011-01-26,Medical Leave,F,25370,Suburban,Married,102,10.0,77,0.0,2,Personal Auto,Personal,Offer1,Branch,490.0,Sports Car,Large
3279,California,5827.0,No,Basic,2011-02-22,Employed,F,30228,Rural,Married,73,28.0,44,0.0,3,Personal Auto,Personal,Offer2,Branch,163.0,Four-Door Car,Medsize
3280,Nevada,22801.0,No,Extended,2011-02-07,Employed,F,68771,Urban,Divorced,96,10.0,70,0.0,2,Personal Auto,Personal,Offer1,Call Center,276.0,Four-Door Car,Medsize
3281,California,5971.0,No,Extended,2011-02-05,Medical Leave,F,25125,Suburban,Single,81,12.0,91,1.0,3,Corporate Auto,Corporate,Offer1,Agent,583.0,Four-Door Car,Medsize
3283,Oregon,6752.0,No,Extended,2011-01-05,Employed,M,42433,Suburban,Married,85,28.0,47,0.0,3,Personal Auto,Personal,Offer4,Call Center,411.0,Four-Door Car,Medsize
3284,California,7327.0,No,Extended,2011-02-12,Employed,M,62338,Rural,Married,92,9.0,61,0.0,3,Corporate Auto,Corporate,Offer1,Agent,4.0,Four-Door Car,Medsize
3285,California,6768.0,No,Extended,2011-01-31,Employed,M,39650,Suburban,Married,86,18.0,8,0.0,3,Personal Auto,Personal,Offer2,Branch,922.0,Four-Door Car,Medsize
3287,California,16302.0,Yes,Extended,2011-02-17,Retired,F,19614,Suburban,Married,85,21.0,32,0.0,2,Personal Auto,Personal,Offer2,Agent,574.0,Two-Door Car,Medsize
3289,California,2516.0,No,Basic,2011-02-07,Employed,F,48829,Urban,Single,64,23.0,70,1.0,1,Personal Auto,Personal,Offer1,Agent,300.0,Four-Door Car,Medsize
3290,California,5605.0,No,Basic,2011-01-21,Employed,F,21171,Suburban,Divorced,72,2.0,40,0.0,3,Corporate Auto,Corporate,Offer4,Call Center,346.0,Four-Door Car,Large
3291,Washington,3691.0,No,Extended,2011-01-17,Employed,F,59016,Suburban,Married,92,3.0,65,0.0,1,Corporate Auto,Corporate,Offer2,Web,442.0,Four-Door Car,Medsize
3292,Oregon,2788.0,No,Basic,2011-01-01,Employed,F,62506,Suburban,Married,69,3.0,90,0.0,1,Personal Auto,Personal,Offer1,Branch,331.0,Two-Door Car,Large
3294,Oregon,3032.0,No,Extended,2011-01-08,Employed,F,27435,Suburban,Single,76,9.0,6,0.0,1,Personal Auto,Personal,Offer3,Branch,456.0,Two-Door Car,Medsize
3295,California,5556.0,Yes,Basic,2011-02-06,Employed,M,74015,Suburban,Single,72,12.0,61,0.0,3,Personal Auto,Personal,Offer2,Call Center,471.0,Four-Door Car,Small
3297,Oregon,8592.0,No,Basic,2011-02-11,Employed,M,38984,Suburban,Married,73,27.0,38,0.0,2,Personal Auto,Personal,Offer2,Branch,350.0,Four-Door Car,Small
3298,Oregon,3919.0,Yes,Extended,2011-01-05,Employed,F,66676,Suburban,Married,97,0.0,40,0.0,1,Personal Auto,Personal,Offer3,Agent,558.0,Four-Door Car,Small
3300,California,5123.0,No,Basic,2011-02-07,Medical Leave,F,22338,Urban,Married,67,9.0,37,1.0,3,Personal Auto,Personal,Offer1,Branch,308.0,Two-Door Car,Medsize
3301,Oregon,16681.0,No,Basic,2011-01-24,Employed,F,55907,Suburban,Married,104,23.0,64,0.0,2,Corporate Auto,Corporate,Offer1,Agent,499.0,Four-Door Car,Large
3302,Oregon,7842.0,No,Extended,2011-02-28,Employed,F,51001,Urban,Married,99,13.0,49,1.0,3,Personal Auto,Personal,Offer1,Agent,292.0,Four-Door Car,Medsize
3304,California,3540.0,No,Extended,2011-01-31,Employed,F,62863,Rural,Married,88,18.0,52,0.0,1,Corporate Auto,Corporate,Offer3,Agent,95.0,Four-Door Car,Medsize
3306,Oregon,8258.0,Yes,Basic,2011-01-12,Disabled,F,23815,Suburban,Married,73,4.0,47,0.0,2,Personal Auto,Personal,Offer2,Call Center,424.0,Four-Door Car,Medsize
3309,Oregon,2761.0,No,Basic,2011-01-18,Employed,F,34717,Suburban,Married,70,7.0,33,2.0,1,Special Auto,Special,Offer1,Web,336.0,Four-Door Car,Medsize
3310,Oregon,2599.0,No,Basic,2011-02-01,Employed,M,33947,Urban,Married,66,10.0,48,1.0,1,Personal Auto,Personal,Offer2,Web,192.0,Four-Door Car,Medsize
3312,Washington,8032.0,No,Basic,2011-02-09,Employed,M,27658,Rural,Married,68,4.0,75,0.0,2,Personal Auto,Personal,Offer3,Call Center,160.0,Four-Door Car,Medsize
3313,Nevada,3963.0,No,Extended,2011-02-02,Employed,M,88701,Rural,Married,99,7.0,4,0.0,1,Personal Auto,Personal,Offer2,Call Center,172.0,Two-Door Car,Medsize
3316,Nevada,7792.0,No,Basic,2011-01-03,Employed,F,36776,Urban,Divorced,65,21.0,21,0.0,2,Corporate Auto,Corporate,Offer1,Call Center,240.0,Four-Door Car,Medsize
3318,Washington,4070.0,No,Basic,2011-01-31,Employed,F,37435,Urban,Single,105,3.0,22,0.0,1,Personal Auto,Personal,Offer3,Branch,314.0,Four-Door Car,Medsize
3319,Oregon,4771.0,Yes,Basic,2011-02-01,Medical Leave,F,12964,Suburban,Single,65,2.0,37,0.0,3,Personal Auto,Personal,Offer1,Web,363.0,Two-Door Car,Medsize
3320,California,5409.0,No,Extended,2011-02-04,Employed,F,20472,Suburban,Single,139,34.0,61,0.0,1,Corporate Auto,Corporate,Offer1,Agent,667.0,Four-Door Car,Medsize
3321,Oregon,7444.0,No,Extended,2011-01-07,Employed,M,89285,Urban,Married,93,17.0,11,0.0,3,Corporate Auto,Corporate,Offer4,Call Center,244.0,Two-Door Car,Medsize
3322,California,5070.0,No,Basic,2011-02-28,Employed,F,23840,Suburban,Married,64,32.0,66,0.0,3,Personal Auto,Personal,Offer4,Call Center,307.0,Four-Door Car,Small
3324,Nevada,8296.0,No,Premium,2011-02-10,Employed,F,85478,Rural,Married,103,29.0,15,0.0,3,Personal Auto,Personal,Offer1,Call Center,224.0,Two-Door Car,Medsize
3326,Arizona,6688.0,No,Extended,2011-02-15,Employed,F,23772,Rural,Married,83,19.0,25,0.0,3,Personal Auto,Personal,Offer2,Agent,101.0,Four-Door Car,Medsize
3327,Arizona,2556.0,No,Basic,2011-01-20,Disabled,F,18241,Rural,Married,65,17.0,44,0.0,1,Personal Auto,Personal,Offer3,Agent,152.0,Two-Door Car,Medsize
3329,Arizona,4835.0,Yes,Basic,2011-01-31,Employed,F,38713,Suburban,Divorced,66,31.0,69,4.0,3,Personal Auto,Personal,Offer2,Call Center,317.0,Four-Door Car,Medsize
3330,California,2613.0,No,Basic,2011-02-23,Disabled,M,19003,Rural,Married,71,29.0,21,0.0,1,Personal Auto,Personal,Offer3,Agent,35.0,Two-Door Car,Medsize
3335,Oregon,2790.0,No,Basic,2011-01-08,Medical Leave,F,15514,Suburban,Married,74,20.0,24,0.0,1,Corporate Auto,Corporate,Offer4,Web,355.0,Four-Door Car,Medsize
3336,Nevada,5018.0,No,Basic,2011-02-07,Employed,F,79814,Rural,Married,62,18.0,50,0.0,3,Personal Auto,Personal,Offer4,Branch,32.0,Four-Door Car,Medsize
3342,Oregon,12300.0,No,Basic,2011-02-12,Employed,M,74586,Suburban,Married,103,14.0,19,0.0,2,Personal Auto,Personal,Offer2,Call Center,494.0,Four-Door Car,Medsize
3346,California,10180.0,Yes,Premium,2011-01-05,Retired,F,14290,Suburban,Married,271,20.0,40,0.0,1,Personal Auto,Personal,Offer1,Agent,1301.0,Luxury Car,Medsize
3348,Nevada,2665.0,No,Basic,2011-01-09,Medical Leave,M,14315,Suburban,Married,71,33.0,16,0.0,1,Personal Auto,Personal,Offer2,Branch,511.0,Four-Door Car,Medsize
3349,Arizona,9062.0,No,Basic,2011-02-05,Employed,M,42743,Rural,Married,117,5.0,86,1.0,3,Personal Auto,Personal,Offer1,Call Center,101.0,Four-Door Car,Medsize
3350,California,4572.0,No,Basic,2011-01-11,Employed,F,91485,Urban,Divorced,114,2.0,16,0.0,1,Personal Auto,Personal,Offer3,Web,393.0,Four-Door Car,Small
3353,Washington,2662.0,No,Basic,2011-02-23,Employed,M,29195,Suburban,Divorced,68,2.0,46,0.0,1,Personal Auto,Personal,Offer2,Agent,448.0,Two-Door Car,Small
3354,California,5824.0,No,Basic,2011-02-20,Employed,M,73976,Urban,Divorced,73,27.0,84,0.0,3,Personal Auto,Personal,Offer2,Web,339.0,Four-Door Car,Medsize
3355,Oregon,2506.0,No,Basic,2011-01-04,Employed,M,92056,Rural,Married,62,21.0,1,0.0,1,Personal Auto,Personal,Offer2,Branch,89.0,Four-Door Car,Medsize
3356,California,13178.0,No,Basic,2011-01-13,Employed,F,80237,Suburban,Married,108,4.0,71,0.0,2,Personal Auto,Personal,Offer1,Branch,777.0,Four-Door Car,Medsize
3358,Oregon,4748.0,No,Extended,2011-01-08,Employed,M,42165,Suburban,Single,123,22.0,66,0.0,1,Corporate Auto,Corporate,Offer1,Branch,800.0,Four-Door Car,Large
3359,Arizona,8356.0,No,Basic,2011-02-15,Employed,F,23666,Suburban,Married,104,7.0,76,0.0,3,Personal Auto,Personal,Offer1,Agent,499.0,Four-Door Car,Medsize
3360,California,2863.0,No,Basic,2011-02-27,Employed,F,76356,Suburban,Married,71,4.0,61,2.0,1,Personal Auto,Personal,Offer3,Branch,341.0,Two-Door Car,Medsize
3362,Arizona,15957.0,No,Extended,2011-02-08,Employed,F,61148,Rural,Married,132,28.0,25,0.0,2,Personal Auto,Personal,Offer2,Branch,98.0,Sports Car,Small
3363,Oregon,4179.0,No,Premium,2011-01-06,Employed,F,60010,Suburban,Married,103,4.0,86,0.0,1,Special Auto,Special,Offer2,Agent,494.0,Four-Door Car,Medsize
3365,Oregon,7306.0,No,Extended,2011-01-30,Employed,M,83221,Rural,Married,91,21.0,63,0.0,3,Personal Auto,Personal,Offer4,Web,14.0,Four-Door Car,Medsize
3367,Arizona,18454.0,No,Basic,2011-01-13,Employed,M,72215,Urban,Married,66,22.0,23,0.0,2,Personal Auto,Personal,Offer2,Web,248.0,Four-Door Car,Medsize
3369,California,8478.0,No,Basic,2011-02-28,Medical Leave,F,13870,Suburban,Married,109,1.0,78,0.0,3,Personal Auto,Personal,Offer3,Web,550.0,Four-Door Car,Medsize
3370,California,4426.0,No,Basic,2011-02-21,Employed,M,80892,Suburban,Married,110,15.0,76,0.0,1,Personal Auto,Personal,Offer3,Branch,528.0,Four-Door Car,Medsize
3371,Arizona,4805.0,No,Basic,2011-01-22,Disabled,M,23604,Suburban,Married,64,4.0,86,0.0,3,Corporate Auto,Corporate,Offer1,Web,461.0,Two-Door Car,Medsize
3372,Oregon,5526.0,No,Basic,2011-02-20,Employed,M,73435,Suburban,Married,69,9.0,25,0.0,3,Corporate Auto,Corporate,Offer1,Branch,331.0,Two-Door Car,Small
3373,California,5192.0,No,Basic,2011-01-19,Employed,F,23059,Suburban,Married,66,22.0,55,0.0,3,Personal Auto,Personal,Offer2,Web,372.0,Two-Door Car,Medsize
3374,California,2615.0,No,Basic,2011-01-09,Employed,M,57023,Urban,Single,67,11.0,59,0.0,1,Personal Auto,Personal,Offer2,Agent,251.0,Four-Door Car,Medsize
3375,California,5707.0,No,Basic,2011-01-12,Employed,M,83073,Rural,Married,71,15.0,46,0.0,3,Corporate Auto,Corporate,Offer3,Call Center,10.0,Two-Door Car,Medsize
3376,Oregon,12157.0,Yes,Premium,2011-02-27,Employed,M,57449,Suburban,Single,103,6.0,28,0.0,2,Personal Auto,Personal,Offer1,Agent,494.0,Four-Door Car,Medsize
3378,California,10722.0,No,Extended,2011-02-03,Employed,F,54311,Urban,Married,90,20.0,41,0.0,2,Personal Auto,Personal,Offer2,Agent,386.0,Two-Door Car,Medsize
3379,California,2734.0,No,Basic,2011-01-20,Employed,F,30916,Rural,Single,70,6.0,50,0.0,1,Personal Auto,Personal,Offer3,Branch,21.0,Four-Door Car,Medsize
3380,California,5264.0,No,Basic,2011-01-16,Employed,F,24031,Suburban,Married,66,32.0,37,0.0,3,Personal Auto,Personal,Offer4,Call Center,317.0,Four-Door Car,Small
3383,California,15550.0,No,Basic,2011-01-25,Medical Leave,F,17449,Urban,Divorced,71,16.0,55,0.0,2,Corporate Auto,Corporate,Offer3,Agent,269.0,Four-Door Car,Medsize
3384,Arizona,3692.0,No,Extended,2011-01-14,Employed,F,37202,Urban,Married,93,30.0,86,0.0,1,Personal Auto,Personal,Offer3,Branch,323.0,Two-Door Car,Medsize
3385,California,19480.0,No,Extended,2011-01-02,Employed,F,50809,Urban,Single,83,29.0,58,0.0,2,Personal Auto,Personal,Offer1,Branch,290.0,Four-Door Car,Medsize
3387,Nevada,2871.0,No,Basic,2011-01-28,Employed,M,94178,Urban,Married,72,26.0,25,1.0,1,Personal Auto,Personal,Offer2,Web,226.0,Four-Door Car,Medsize
3390,California,6274.0,Yes,Extended,2011-02-16,Retired,F,18577,Suburban,Divorced,86,21.0,76,0.0,3,Corporate Auto,Corporate,Offer1,Branch,413.0,Four-Door Car,Medsize
3393,Washington,2734.0,No,Basic,2011-01-15,Employed,M,54010,Suburban,Married,69,5.0,89,0.0,1,Personal Auto,Personal,Offer2,Branch,331.0,Four-Door Car,Medsize
3394,Nevada,2731.0,No,Basic,2011-01-10,Employed,F,24967,Suburban,Married,69,6.0,38,0.0,1,Personal Auto,Personal,Offer3,Branch,331.0,Two-Door Car,Medsize
3395,Nevada,4053.0,No,Premium,2011-01-11,Employed,M,44661,Urban,Married,101,2.0,1,0.0,1,Personal Auto,Personal,Offer3,Agent,437.0,Two-Door Car,Medsize
3397,Nevada,6482.0,No,Extended,2011-01-13,Employed,F,30689,Suburban,Married,81,23.0,51,0.0,3,Personal Auto,Personal,Offer4,Branch,467.0,Four-Door Car,Medsize
3400,California,5404.0,No,Basic,2011-02-28,Employed,F,72633,Rural,Married,67,28.0,91,0.0,3,Personal Auto,Personal,Offer1,Agent,156.0,Four-Door Car,Medsize
3401,Oregon,4582.0,No,Basic,2011-02-24,Employed,F,49558,Suburban,Divorced,115,1.0,73,0.0,1,Personal Auto,Personal,Offer3,Web,552.0,Four-Door Car,Large
3402,California,2771.0,Yes,Basic,2011-01-11,Employed,F,50071,Rural,Single,71,3.0,32,0.0,1,Personal Auto,Personal,Offer2,Agent,19.0,Two-Door Car,Medsize
3403,Oregon,5317.0,No,Basic,2011-01-27,Employed,F,45856,Rural,Divorced,67,15.0,57,0.0,3,Personal Auto,Personal,Offer1,Call Center,92.0,Two-Door Car,Small
3404,California,2770.0,No,Basic,2011-02-19,Employed,M,39646,Urban,Married,70,9.0,35,0.0,1,Personal Auto,Personal,Offer4,Agent,280.0,Four-Door Car,Small
3405,Washington,5597.0,Yes,Extended,2011-01-27,Employed,F,37995,Suburban,Married,139,16.0,50,0.0,1,Personal Auto,Personal,Offer1,Branch,667.0,Four-Door Car,Medsize
3407,California,5015.0,Yes,Extended,2011-02-03,Employed,F,48567,Suburban,Single,130,12.0,15,0.0,1,Personal Auto,Personal,Offer2,Agent,624.0,Four-Door Car,Medsize
3408,Oregon,14024.0,Yes,Premium,2011-02-19,Employed,F,81872,Rural,Married,115,10.0,55,0.0,2,Personal Auto,Personal,Offer2,Web,256.0,Four-Door Car,Medsize
